1,,4.0,,4.0,,,5.0,,,5.0,5.0,5.0,,3.0,5.0,,5.0,,,3.0,,5.0,5.0,5.0,5.0,5.0,,,3.0,,,,4.0,4.0,,,,4.0,,,,,,5.0,,5.0,5.0,,4.0,4.0,5.0,5.0,5.0,,5.0,5.0,3.0,5.0,4.0,5.0,,,5.0,,4.0,,4.0,,,3.0,5.0,,,,,,,4.0,4.0,4.0,,,,5.0,,5.0,3.0,,,5.0,5.0,,3.0,4.0,3.0,,3.0,,5.0,,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,4.0,,5.0,,,,5.0,4.0,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,4.5,4.0,,,,,,,,,,4.0,,,,,4.0,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,4.0,,,,,,,5.0,,,1.0,,,5.0,3.0,5.0,5.0,,,,,,,,,3.0,,,,,2.0,,,,2.0,,,,,,,4.0,,,,,1.0,,,4.0,4.0,,,5.0,,,,1.0,4.0,4.0,,,1.0,,,,4.0,,,,5.0,3.0,,,,4.0,5.0,3.0,,,4.0,5.0,,3.0,,,,,,2.0,,,,1.0,,4.0,5.0,,,,,,3.0,4.0,,,2.0,,,,,,,,,,,,,4.0,,,,,,,,,
5,,4.0,,,,,,,,,,,,,,3.0,,,,5.0,,,,,,,,,2.0,3.0,,3.0,3.0,,2.0,,3.0,4.0,,,4.0,3.0,2.0,,,4.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,,,,,4.0,3.0,5.0,3.0,,5.0,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.0,3.0,,,,
6,,,4.0,4.0,,,,,,3.0,,,3.0,,3.0,3.0,,4.0,3.0,2.0,,,,,,,,,5.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,,4.0,4.0,,1.0,,,,,,,,,,,,,,,4.0,4.0,5.0,,5.0,,,,,5.0,3.0,3.0,,,5.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,,,,3.0,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,3.0,3.0,3.0,,3.0
7,4.0,4.5,,,,4.5,,4.5,,,,,,,,,5.0,,,,,3.5,,,,4.0,,,,,,,,5.0,,,,,,,,,3.0,,,4.5,,,4.0,,,4.0,,,5.0,,,5.0,,,,,,,5.0,1.0,1.5,,2.0,,,,,,2.0,3.0,2.5,,3.0,5.0,3.5,,,,4.5,,4.0,4.0,,3.5,4.0,,,,,,4.5,,,3.0,,4.5,,,,,4.0,,3.5,,4.0,1.5,,,,,4.0,,,4.5,2.0,4.5,4.0,,,,,4.0,4.0,1.5,,,4.5,,,4.0,4.0,
8,,,4.0,,,,,,,,,,3.0,,4.0,5.0,,3.0,,4.0,,,,,,,,,,5.0,,,,3.0,5.0,2.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,4.0,,5.0,,,,,,,,,,,,,,,,4.0,3.0,,4.0,,,,,2.0,5.0,3.0,,3.0,3.0,,,5.0,3.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,2.0,,,,5.0
9,,,,,,5.0,,,,,,,,4.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
600,1.0,2.5,4.0,,4.0,5.0,4.0,3.0,3.0,5.0,2.0,,2.0,2.5,3.5,4.5,4.0,2.5,,4.5,,3.0,4.5,4.0,5.0,4.0,,,,3.5,3.0,3.0,2.0,4.0,1.0,,2.5,3.0,2.0,4.5,2.0,3.0,3.0,4.0,5.0,,5.0,2.0,,2.5,2.0,4.5,,,3.0,3.0,3.5,4.5,4.0,4.0,,2.5,3.0,4.5,3.0,,1.0,2.0,2.5,4.0,3.0,2.0,,,3.0,3.5,3.0,,2.5,4.0,3.0,,1.5,4.5,3.5,4.0,3.0,,4.0,3.0,4.5,,,,2.5,3.5,2.0,4.0,4.5,3.5,4.0,,,3.0,3.5,2.5,4.0,,3.5,,,3.0,,3.5,4.5,4.0,3.5,0.5,3.0,4.0,2.5,5.0,,,,3.5,,3.0,4.0,,2.0,,2.0,,1.0,2.5,5.0,2.5
601,4.5,4.0,,,,5.0,,4.0,,,,,,,,,,,,,5.0,,4.0,4.0,5.0,,4.0,5.0,,5.0,,,,,,,,,,,,,,4.0,4.5,5.0,,,,,,,,4.5,,5.0,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,,4.5,,,5.0,5.0,,,4.0,,,,,,,5.0,,5.0,,4.5,4.0,,4.0,,,,,4.0,,,,,5.0,4.0,4.0,,,4.5,5.0,4.5,5.0,5.0,,,5.0,,4.5,,,,,,,5.0,
602,,,4.0,3.0,,,,,,,,,3.0,,2.0,3.0,5.0,3.0,3.0,5.0,,,,,,,,,3.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,1.0,5.0,3.0,5.0,,5.0,,,,,,,,,,,,,,,3.0,3.0,5.0,,4.0,,,,,4.0,5.0,3.0,,1.0,4.0,,5.0,3.0,4.0,5.0,,2.0,,,,5.0,4.0,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,4.0,4.0,4.0,5.0,,3.0
603,,4.0,,4.0,,,3.0,,4.0,3.0,4.0,5.0,,3.0,,3.0,4.0,,2.0,5.0,,,,4.0,3.0,3.0,4.0,,,,,,,3.0,4.0,,,,5.0,3.0,4.0,5.0,2.0,,,,5.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,3.0,,,3.0,,,,1.0,5.0,4.0,,3.0,4.0,3.0,,3.0,,,3.0,2.0,5.0,,3.0,2.0,3.0,5.0,5.0,2.0,,,4.0,5.0,,4.0,,,2.0,,4.0,4.0,2.0,5.0,,3.0,3.0,5.0,5.0,5.0,,,,,4.0,,,,5.0,,,4.0,,,,,5.0,,3.0,,,,4.0,1.0,5.0,,1.0,,,,
604,,3.0,5.0,3.0,,,,,,,,,3.0,4.0,,5.0,,3.0,3.0,5.0,,,,,,,,,4.0,,3.0,2.0,,,,,4.0,3.0,,4.0,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,3.0,,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,3.0,,4.0,,4.0
605,,4.0,3.5,,,5.0,,,,4.0,,,,,,,5.0,,,2.0,,,,,5.0,,,,,,,,,3.0,,,,4.0,,,,,3.0,,,,,,,,,5.0,,,,,,4.0,,,,,,,3.0,,,,4.0,,,,,,3.0,3.5,3.5,3.0,3.0,,4.0,,,,,,,,,4.0,,,,,,,3.5,,,,,5.0,,,,,,,,,,,,,,,3.5,,,3.5,3.5,5.0,,,,,,3.0,3.5,,3.0,,5.0,4.0,,,5.0,
606,4.0,2.5,,,4.5,4.5,4.0,4.0,,,3.5,5.0,,4.5,2.5,,4.5,,4.5,5.0,4.0,,4.0,3.5,,4.5,4.5,,,3.5,,,,4.0,4.0,,,3.0,,4.0,,,,3.0,4.0,4.5,4.5,3.5,4.5,4.0,,4.5,4.0,4.0,4.0,5.0,4.5,3.5,,4.0,,3.0,,4.5,2.5,3.5,3.5,4.0,,3.0,5.0,,5.0,,4.0,,3.5,4.0,3.5,4.5,,4.0,1.0,3.5,4.0,,2.5,4.0,4.0,,4.5,4.0,2.5,,,4.0,2.5,,5.0,4.5,4.0,3.0,4.5,4.0,4.5,4.5,5.0,3.5,4.0,4.0,4.0,3.0,4.0,,4.5,4.0,4.0,,3.5,4.0,,4.5,3.0,4.0,,3.5,,4.0,4.0,3.5,3.5,3.5,,,,,4.5,
607,,4.0,,,,,,,5.0,,5.0,,3.0,,,,3.0,4.0,,3.0,,3.0,,,,3.0,,,3.0,5.0,,,,,,,,,5.0,,3.0,,4.0,,,,,,,3.0,4.0,3.0,,,5.0,5.0,5.0,3.0,3.0,4.0,4.0,,5.0,,4.0,,3.0,2.0,,,5.0,,,,,,4.0,,3.0,5.0,,,,4.0,5.0,2.0,,,,,3.0,4.0,3.0,,5.0,,4.0,3.0,,,4.0,,,,,,,4.0,,,,,5.0,,,,,,5.0,,,,,5.0,,3.0,,,,,5.0,,5.0,3.0,,4.0,,
608,4.5,2.5,2.0,,,4.5,4.0,4.5,3.0,3.5,2.5,4.0,3.0,2.5,3.0,3.0,3.5,2.5,4.0,5.0,,4.0,3.0,,,4.0,3.5,,3.0,4.5,3.0,3.5,,3.0,3.0,4.0,3.5,2.0,2.5,3.5,3.5,3.0,3.0,4.5,4.5,4.5,3.5,4.5,3.0,4.0,4.5,4.0,3.0,4.5,3.5,5.0,4.0,2.0,3.5,4.0,,,3.0,4.0,3.0,,4.0,4.0,3.0,2.0,4.0,2.5,3.5,1.0,2.5,3.0,3.0,3.0,3.0,4.0,2.5,2.5,2.5,3.0,4.5,3.0,3.5,4.0,4.0,3.0,5.0,4.0,3.5,4.0,3.0,3.0,3.0,4.0,5.0,4.5,5.0,4.0,4.5,2.0,4.0,,3.0,3.0,3.0,4.5,4.5,3.5,4.0,,4.0,4.5,4.5,4.0,4.0,3.0,,4.5,4.0,4.5,,3.0,4.5,4.0,3.0,4.0,4.0,3.0,2.0,2.5,,,4.0,3.0
609,,3.0,,,,,,,,,,,3.0,,3.0,4.0,,3.0,,4.0,,,,,,,,,,4.0,3.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,,3.0,,,,,,,,,,,,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,3.0,,,3.0
610,4.0,5.0,,5.0,4.0,5.0,,,5.0,,4.5,5.0,,,4.0,,5.0,,5.0,5.0,4.5,3.5,5.0,5.0,4.5,5.0,,3.5,,3.0,,3.0,,3.0,,,,3.5,5.0,4.5,,,5.0,5.0,5.0,4.0,,5.0,5.0,4.5,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4.5,4.5,,,4.5,4.5,5.0,5.0,3.0,5.0,,,3.5,,5.0,,,,5.0,,4.5,4.5,,,,5.0,4.5,4.5,,5.0,4.0,,3.5,4.5,,,,5.0,3.5,3.5,5.0,5.0,5.0,4.0,,3.0,4.5,3.5,4.5,3.5,4.5,4.0,4.0,5.0,4.0,4.5,4.5,5.0,3.5,3.5,2.5,4.0,4.0,5.0,3.5,5.0,4.0,,5.0,4.0,4.0,5.0,4.5,5.0,,3.0,,,5.0,
500,,4.0,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,3.0,,,1.0,,,,4.0,,,,,4.0,1.0,4.0,,,,,,,,5.0,,4.0,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,
501,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
503,,,,,,,,,4.5,,,4.5,,,,,,,,5.0,,,,,,,4.0,,,4.0,,,,4.0,,,3.0,,,,,,,,2.5,,4.0,,,2.5,5.0,,,4.0,,4.5,,,,,,,,,3.5,4.0,,,,3.5,4.0,,,,,,,,,3.5,,,,,3.0,4.0,,,3.0,,4.0,,,,,,,3.5,3.5,,4.5,,,2.5,,,4.0,,,1.5,,,2.5,,,4.0,,,4.5,,,,,3.0,3.5,,2.5,,,,,,,,,,,
504,,4.0,,,,4.0,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,4.0,,,3.5,,4.0,,,,4.5,,,,,4.0,4.0,,,,,,,,,,,,,,4.0,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,3.0,,,,3.0,4.0,,,,,5.0,,5.0,3.0,,3.0,,,,,,,,,,,,,,,,,,3.0,4.0,,4.0,,,,,,,,,,,,3.0,3.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,3.0,,3.0,,
508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,3.5,4.0,,,4.0,5.0,,,,3.5,,,,,2.5,,4.0,,,3.5,3.5,3.0,4.0,4.0,4.0,4.0,,3.5,,,,4.0,,,,,4.0,3.5,,4.0,3.5,4.0,,,,,,,,,,,,,,3.5,,,3.0,,,,,,,,,3.5,4.0,,,,,1.0,,3.5,,,,,3.5,,,,4.0,,,4.0,3.5,3.5,,,,,,,,,,4.0,,3.5,3.5,,3.5,3.0,,,2.5,,,,,3.5,3.0,,4.0,4.0,,3.5,,5.0,,3.5,3.5,,4.0,3.5,3.5,3.0,,,,2.0,,,5.0,
